Therapieart laut UL;Substanzbezeichnung;gültig bis;ATC-Code;ATC-Code gültig bis (WHO-ATC alterations);Änderungsvermerk
ZS;Tivantinib;;;;
ZS;Tivozanib;;L01XE34;31122020;
ZS;Tivozanib;;L01EK03;;
IM;Tocilizumab;;L04AC07;;
IM;Tomuzotuximab;;;;Aktualisierung 31.12.2023
CH;Topotecan;;L01XX17;31122020;
CH;Topotecan;;L01CE01;;
HO;Toremifen;;L02BA02;;
IM;Toripalimab;;L01FF13;;Aktualisierung 31.12.2023, Ergänzung ATC-Code (neu seit 2024)
IM;Tositumomab;31122023;V10XA53;;Radioimmuntherapie mit J-131, ab oBDS als Strahlentherapie melden
ZS;Tovorafenib;;;;Aktualisierung 2024
CH;Trabectedin;;L01CX01;;
ZS;Trametinib;;L01XE25;31122020;
ZS;Trametinib;;L01EE01;;
IM;Trastuzumab;;L01FD01;;
IM;Trastuzumab deruxtecan;;L01FD04;;
IM;Trastuzumab duocarmazin;;L01FD05;;bis 31.07.2025 gelistet mit dem Namen Trastuzumab duocarmarzine, Schreibweise aktualisiert laut ATC
IM;Trastuzumab emtansin;;L01FD03;;bis 31.07.2025 gelistet mit dem Namen Trastuzumab Emtansin, Schreibweise aktualisiert laut ATC
ZS;Trebananib;;;;
IM;Tremelimumab;;L01FX20;;
CH;Treosulfan;;L01AB02;;
SO;Tretinoin;;L01XX14;31122020;
SO;Tretinoin;;L01XF01;;
CH;Triaziquon;;L01AC02;;
CH;Trifluridin, Kombinationen;;L01BC59;;
HO;Triptorelin;;L02AE04;;
CH;Trofosfamid;;L01AA07;;
ZS;Tucatinib;;L01EH03;;
IM;Tumorlysat-gepulsten dendritischen Zellen;;;;Aktualisierung 2025
IM;Ubamatamab;;;;Aktualisierung 2025
ZS;Umirolimus;;;;
CH;Uramustin;;L01AD08;;
IM;Urelumab;;;;
ZS;Valproinsäure;;N03AG01;;
CH;Valrubicin;;L01DB09;;
ZS;Vandetanib;;L01XE12;31122020;
ZS;Vandetanib;;L01EX04;;
ZS;Veliparib;;L01XK05;;
ZS;Vemurafenib;;L01XE15;31122020;
ZS;Vemurafenib;;L01EC01;;
ZS;Venetoclax;;L01XX52;;
IM;Vibostolimab;;;;Aktualisierung 31.12.2023
CH;Vinblastin;;L01CA01;;
CH;Vincristin;;L01CA02;;
CH;Vindesin;;L01CA03;;
CH;Vinflunin;;L01CA05;;
CH;Vinorelbin;;L01CA04;;
ZS;Vismodegib;;L01XJ01;;
ZS;Vismodegib;;L01XX43;31122020;
IM;Voclosporin;;L04AD03;;
ZS;Volasertib;;;;
ZS;Volrustomig;;;;Aktualisierung 2025
ZS;Vorinostat;;L01XX38;31122020;
ZS;Vorinostat;;L01XH01;;
HO;Vorozol;;L02BG05;;
CH;Vosaroxin;;L01XX53;;Aktualisierung 31.12.2023
IM;Zanidatamab;;;;Aktualisierung 2025
ZS;Zanubrutinib;;L01EL03;;
IM;Zenocutuzumab;;;;Aktualisierung 2025
IM;Zilovertamab vedotin;;;;Aktualisierung 2024
IM;Zolbetuximab;;L01FX31;;Aktualisierung 2025
SO;Zoledronsäure;;M05BA08;;
ZS;Zongertinib;;;;Aktualisierung 2025
CH;Zorubicin;;L01DB05;;
ZS;Zotarolimus;;;;
